"%s days","%s días"
"Access denied!","¡Acceso denegado!"
"Quotation #%s - Proposal","Consulta de precios #%s"
"Quotation #%s was rejected","Oferta #%s ha sido rechazada"
"Quotation Date: %s","Fecha de la consulta de precios: %s"
"Quote,","Consulta de precios"
"Quote #","Consulta de precios #"
"Quote #%s","Oferta #%s"
"Quote List","Listado de consultas"
"Quote list was updated successfully.","El listado de consultas ha sido actualizado con éxito."
"Quote mode","Modalidad de consultar precios"
"Quote Proposal","Número de oferta"
"Quote request information","Detalles de la consulta de precios"
"Quote shipping proposal from owner","Propuesta de envío"
"Quote Status","Estado de la consulta de precios"
"Reject Proposal","Rechazar oferta"
"Remark with Proposal","Comentario sobre esta oferta"
"Remove","Eliminar"
"Remove item","Eliminar producto"
"Request for Quote","Consulta de precio"
"Request information","Comentario"
"Request quote","Enviar consulta"
"Requested information","Comentario"
"Required Fields","Campo obligatorio"
"ship to:","Enviar a:"
"Shipping & Handling price per product per Unit,","Gastos de envío y tramitación por producto"
"Shipping & Handling price varies.","Los gastos de envío y tramitación varian."
"Shipping Address","Dirección de envío"
"Shipping details","Detalles del envío"
"Shipping Method","Forma de envío"
"State/Province","Provincia"
"Status","Estado"
"STATUS_BEGIN","Comenzado"
"STATUS_CANCELED","Oferta cancelada"
"STATUS_CONFIRMED","Oferta aceptada"
"STATUS_DENIED","Oferta rechazada"
"STATUS_PROPOSAL","Oferta transmitida"
"STATUS_PROPOSAL_EXPIRED","Oferta caducada"
"STATUS_PROPOSAL_SAVED","Oferta guardada"
"STATUS_AUTO_PROPOSAL","Oferta transmitida"
"STATUS_REJECTED","Borrado"
"STATUS_REQUEST","En curso"
"STATUS_REQUEST_EXPIRED","Oferta caducada"
"Switch to Order mode","Cambiar a modalidad de pedidos"
"Switch to Quote mode","Cambiar a modalidad de consultas"
"TAX","IVA"
"Telephone","Teléfono"
"Thank you for your interest!","¡Le agradecemos su interés!"
"Thanks for your Quote request.","Le agradecemos el envío de su consulta."
"The address was successfully saved","La dirección ha sido guardada con éxito."
"There are <a href=%s><strong>%s items</strong></a> in your quote list.","Hay <a href=%s><strong>%s artículos</strong></a> en su listado de consultas."
"There is <a href=%s><strong>1 item</strong></a> in your quote list.","Hay <a href=%s><strong>1 producto</strong></a> en su listado de consultas."
"This item will be removed from the list if you continue:","Si continua, este producto se eliminará de su listado:"
"The following item will not be added to the quotation list if you continue:","Si continua, los siguientes artículos no se añadirán al listado:"
"This order list contains items that cannot quoted.","Para algunos de los productos en su cesta no es posible consultar el precio."
"To add item to the Quote mode <a href='%s'>log out</a> from Quote confirmation mode.,"Wann Sie ein Preisaufgabe empfangen wollen dann sollen Sie bitte <a href='%s'>ausloggen</a> aus die Anfrage-Best\u00e4tgigung Status."
"To add item to the Quote mode <a href='%s'>switch the shopping cart to Quote mode.</a>,"Wann Sie ein Preisaufgabe empfangen wollen dann sollen Sie bitte <a href='%s'>Umschalten von Bestel- nach Anfrage Umgebung.</a>"
"To add item to the Shopping cart <a href='%s'>log out</a> from Quote confirmation mode.,"Wann Sie ein Produkt bestellen wollen, dann sollen Sie bitte <a href='%s'>ausloggen</a> aus diese Anfrage Umgebung."
"To add product to the Order mode <a href='%s'>switch the Shopping cart to Order mode.</a>,"Wann Sie das Produkt bestellen wollen, dan sollen Sie bitte <a href='%s'>umschalten nach Bestel Umgebung.</a>"
"Unable to send email.","No ha sido posible enviar un e-mail."
"Unit price","Precio unitario"
"Unknown exception","Excepción desconocida"
"View Quote","Ver consulta"
"You are in a quote confirmation mode, <a href='%s'>log out</a>.","Sie können jetzt eine Anfrage bestätigen, <a href='%s'>ausloggen</a>."
"You have placed no quotes.","No tiene consultas pendientes."
"You log out successfully from Quote confirmation mode.","Ha finalizado la sesión con éxito."
"You will receive a quote confirmation email with a link to track progress.","Recibirá una confirmación por e-mail."
"Your order list contains items that cannot quoted.","Para algunos de los productos en su cesta no es posible consultar el precio."
"Your quote has been canceled","Su consulta ha sido cancelada"
"Your quote has been received","Hemos recibido su consulta."
"Your quote list contains items that cannot ordered.","Su listado de consultas contiene productos que actualmente no puede comprar."
"Your quote request has been received","Hemos recibido su consulta."
"Your quote request has been submitted successfully.","Su consulta ha sido enviada con éxito."
"Your shopping cart will be changed to Quote Request if you continue.","Ihre Warenkorb wird Ihren Anfragen hinzugefügt, wenn Sie fortfahren."
"You're welcome to place a new Request for Quote","Sie können uns jederzeit eine neue Anfrage senden."
"Zip/Postal Code","Código Postal"
"Add Qty","Cambiar cantidad"
"Request a shipping quote","Consulte el coste del envío con nosotros"
"Total price","Importe total"
"Move to Shopping cart","Mover a la cesta"
"Move to shopping cart?","¿Quiere añadir el artículo a la cesta?"
"This quote list contains items that cannot ordered.","Este listado de consultas contiene productos que actualmente no puede comprar."
"This item will be removed from the list if you continue:","Si continua, los siguientes artículos se eliminarán de su listado:"
"Cancel Action","Cancelar"
"Continue Action","Continuar"
"Copy to Quotation","Copy to Quotation"
"Copy to Quotation?","Copy to Quotation?"
"Copy to Quotation","Copy to Quotation"
"Cannot update the item.","El artículo no puede ser actualizado."
"Quote item is not found.","No se han encontrado resultados para este artículo."
"Cannot configure product.","Der Artikel kann nicht konfiguriert werden."
"Edit","Editar"
"in process...","En proceso…"
"Your quote request # is: %s.","El número de su consulta es: %s."
"Quote Request in Process, wait for price proposal Shopowner","Su consulta se está procesando."
"Item","Producto"
"Tier/Qty","Cantidad"
